"Health o Meter HDR743 Digital Bathroom Scale, 350 lb Capacity",$17.88,3.2/5.0,https://www.walmart.com/ip/Health-o-Meter-HDR743-Digital-Bathroom-Scale-350-lb-Capacity/10264542,"Get ready to reach your weight loss goals with help from the Health O Meter Scale. It features a 1&quot; display that gives you clear and crisp numbers for a precise reading and also measures weight up to 300 lbs in 0.2 lbs increments. This split-mat bath scale also comes with a 9V battery. It is lightweight, has textured pads on the top and offers convenient step-on technology. No need to tap it first, the numbers light up in red and are easy to see. Digital scales are what dominate the market today because they are easy to use, extremely accurate and can have an incredibly low profile. If you're looking for the best digital scale to use in your home, then you're going to want this Health O Meter Scale."
"Health o Meter HDR743 Digital Bathroom Scale, 350 lb  ...",$17.88,3.2/5.0,https://www.walmart.com/ip/Health-o-Meter-HDR743-Digital-Bathroom-Scale-350-lb-Capacity/10264542,"Get ready to reach your weight loss goals with help from the Health O Meter Scale. It features a 1&quot; display that gives you clear and crisp numbers for a precise reading and also measures weight up to 300 lbs in 0.2 lbs increments. This split-mat bath scale also comes with a 9V battery. It is lightweight, has textured pads on the top and offers convenient step-on technology. No need to tap it first, the numbers light up in red and are easy to see. Digital scales are what dominate the market today because they are easy to use, extremely accurate and can have an incredibly low profile. If you're looking for the best digital scale to use in your home, then you're going to want this Health O Meter Scale."
Taylor Precision Products 7506 Chrome & Glass Lithiu  ...,$23.88,4.5/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-7506-Chrome-Glass-Lithium-Digital-Scale/14311191,"This Taylor Digital Scale helps you keep track of your weight. It features a stylish, high-tempered glass platform with a chrome finished base. The sleek design allows it to blend with all types of bathroom decor. This battery digital scale is accurate up to 400 lbs. It measures weight in .2 lb increments on a large 1.5&quot; LCD display."
My Life My Shop Digital Scale and Body Analyzer,$48.49,5.0/5.0,https://www.walmart.com/ip/My-Life-My-Shop-Digital-Scale-and-Body-Analyzer/47701093?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=47ad3ae1ceb81b60c8a2d478a699a35c&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"Whether you're attempting to slim down, training for a competition, or simply committing to a healthy lifestyle, your weight alone doesn't tell the whole story. With the My Life My Shop Digital Scale and Body Analyzer, you can keep track of your personal goals and measure vital body composition statistics to get a complete and accurate picture of your overall health. The My Life My Shop Digital Scale and Body Analyzer measures your body fat percentage, muscle mass, bone density, and water weight through an undetectable electrical current transmitted through your body via the stainless steel pads on the body analyzer platform providing you with a Bio Impedance Analysis, or BIA. The My Life My Shop Digital Scale and Body Analyzer is easy to set up and use and the body analyzer can store information for up to 8 users. Oh, and your weight? It measures and stores that too, in pounds and kilograms (up to 397 pounds)."
Zimtown 180kg/396lb Digital Bathroom Scale Toughened  ...,$10.99,4.3/5.0,https://www.walmart.com/ip/Zimtown-180kg-396lb-Digital-Bathroom-Scale-Toughened-Glass-Electronic-Weight-Scale-Black/946515386,"<p><strong>Features:</strong><br />1. Slim waist pattern design bathroom scales<br />2. Multi-point sensornon-slip scale feet<br />3. 0.1kg division value<br />4. 6mm thick tempered glass platform<br />5. HD backlit LCD display<br />6. Limited maximum weighing weight<br />7. Auto power-on when sensing weight<br />8. Auto shut down after leaving scale for 10 seconds<br />9. Design of circular edges and corners<br />10. Step-on technology, switch-on over 3kg<br />11. Base made of environmental protection material<br />12. Auto-switch-off, auto-zero, low battery and overload indication, backlit LCD display</p> <p>&nbsp;</p> <p><strong>Specifications:</strong><br />1. Colour: Black<br />2. Dimensions: (12.00 x 12.00 x 0.79)&quot; / (30.48 x 30.48 x 2.00)cm (L x W x H)<br />3. Weighing Platform Dimensions: (12.00 x 12.00)&quot; / (30.48 x 30.48)cm (L x W)<br />4. Weight: 45.3oz / 1284.2g (Not Includ Package)<br />5. Maximum Capacity: 180kg / 397lb<br />6. Division value: 0.01kg / 0.02lb<br />7. Unit: lb/kg/ st<br />8. Sensor: Fifth Generation High-precision Sensor<br />9. Material: Toughened glass<br />10. Smart Power on: Immediate Auto Power on as soon as You Step on the Scale<br />11. Smart Power off: Auto Power off in 10 Seconds as soon as You Step off the Scale<br />12. Stand-by Time: About One Year(Based on the Actual Usage Frequency)<br />13. Display Screen: LCD Backlight Display<br />14. Power Supply: 1.5V x AAA Battery (Included)<br />15. Tolerance Range: 0.3-0.5kg<br /><br /><strong>How to use:</strong><br />1. Put batteries in the battery compartment at the back of the scale.<br />2. Units Switch: Press the unit key at the back of scale to choose kg/lb/st.<br />3. Keep the scale on the flat surface.<br />4. Step on the glass platform, the scale will turn on automatically.<br />5. Stand still for some seconds until LCD display shows your body weight.<br />6. The scale will turn off automatically after 5 seconds.<br />&nbsp;<br /><strong>Note:</strong><br />1. Switch-on over 3kg, this is not for light objects. If you want to weigh something below 7lb, we suggest customers buy Kitchen Scale.<br />2. People are at their lightest in the morning before breakfast. As food enters the body, weight goes up and by the afternoon, weight begins to fall back down. Exercise will also bring weight down. Keep in mind that weight fluctuates up to 4-6lbs throughout the day.<br />3. LCD display shows &quot;LO&quot; means low battery, please change the batteries.<br />4. LCD display shows &quot;OL&quot; means overload.</p> <p>&nbsp;</p> <strong>Package Includes:</strong> <br />1 x Personal Scale <br />1 x User Manual <br />2 x 1.5V AAA Battery <br /> <p>&nbsp;</p>"
Form Fit Digital Scale and Body Analyzer,$59.99,0.0/5.0,https://www.walmart.com/ip/Form-Fit-Digital-Scale-and-Body-Analyzer/801731059?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=d84376e94d9117eedb9541c1bdb85a47&wpa_aux_info=__aux_info__&wpa_tag=&wpa_pos=5&wpa_plmt=__plmt__&wpa_aduid=__aduid__,"The FormFit professional scale and measurement system allows you to keep track of your weight, body fat, muscle mass, water weight, and bone density, helping you maintain a healthy lifestyle."
Taylor Precision Products 75624072 Glass Digital Sca  ...,$22.82,3.7/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-75624072-Glass-Digital-Scale/22046340,Keep track of your weight and complement your bathroom decor with the Taylor Glass Digital Scale. This modern scale features a reverse LCD readout with red or blue backlit digits and holds up to 400 lbs.
Taylor 7413 Textured Stainless Steel Digital Scale,$18.95,3.3/5.0,https://www.walmart.com/ip/Taylor-7413-Textured-Stainless-Steel-Digital-Scale/39461235,"For the ultimate in performance and precision, turn to the Taylor 7413 Glass Digital Backlit LCD Bathroom Scale. A durable 11.8 x 11.8 tempered glass platform featuring a brushed metal finish gives this scale a timeless look and feel. This digital glass bathroom scale features a generous 4.2 x 2.3 LCD readout with blue backlight, prominently displaying accurate measurements up to 400 lb/180 kg in 0.2 lb/0.1 kg increments. Featuring Step-on Instant Read technology, this scale will automatically register and display your weight as soon as you step on the platform. Inside the box, you will find the Taylor 7413 Glass Digital Backlit LCD Bathroom Scale with brushed metal finish, an instruction manual, and 2 branded AAA batteries. This scale is backed by a 5-Year limited warranty."
Excelvan Touch 440 lbs Total Body Bath Scale – Measu  ...,$24.00,4.4/5.0,https://www.walmart.com/ip/Excelvan-Touch-440-lbs-Total-Body-Bath-Scale-Measures-Weight-Fat-Muscle-Bone-Hydration-with-Auto-Recognition-and-Infant-Tare-Technology/33412350,"Newly updated, the Excelvan Touch 440 lbs Total Body Scale now provides instant adult and infant weight measurements, and calculates body fat, hydration, muscle mass and bone measurements. Embedded with StepOn technology, it automatically powers on upon contact and features 4 touch sensitive buttons for easy operation. It also features 4 icons that automatically illuminate on the screen for body fat, hydration, muscle and bone measurements. The Ozeri Touch includes built-in memory for up to 8 user profiles with auto recognition technology for shared use at home, the office or the gym. Each profile stores weight, gender, height, and age data so that your family members can each track their progress. The Ozeri Touch Total Body Scale combines advanced algorithms with bioelectrical impedance analysis (BIA), incorporating a person's age, height, gender and weight, for its accurate measurements. BIA is a well-established and respected method used to estimate body fat and hydration. Muscles, blood vessels and bones are body tissues with a relative high water content which conducts electricity easily. Body fat is tissue that on the other hand displays much less electric conductivity. With BIA, the Ozeri Scale sends a weak and harmless electrical current through your body to determine the amount of fat tissue. This weak electrical current is imperceptible to the user, and returns back data that is used to instantly calculate the advanced measurements. The Ozeri Touch Total Body Scale displays all results on its easy to read high-contrast LCD screen with blue digits. It utilizes 4 latest generation GX sensors to capture weights up to 440 lbs (200 kg) with industry leading accuracy. With its innovative Tare feature, the Ozeri Touch Bath scale also eliminates all the stress with weighing an infant or pet. Simply step on the scale to record your weight, step off and back on again while carrying your infant or pet, and the scale accurately displays both weights on separate sections of its bright LCD. The Ozeri Touch Tare feature also works as a handy luggage scale so there are no unpleasant surprises at the airport, and it just as easily weighs parcels and boxes. It turns off automatically to conserve battery power, and runs on 2 included Lithium batteries for optimal performance. The scale is made of impact resistant tempered glass which is 4 times stronger than normal glass, and boasts a reflective surface and elegant design."
Taylor Precision Mechanical Analog Bath Scale,$8.79,5.0/5.0,https://www.walmart.com/ip/Taylor-Precision-Mechanical-Analog-Bath-Scale/16541957,"Taylor Precision Mechanical Analog Bath Scale with a 300 pound capacity displays weight in both pounds and kilograms, offering great versatility."
